Date,Open,High,Low,Close,Adj Close,Volume
2018-12-31,128.179993,129.550003,127.419998,129.050003,122.190071,7409900
2019-01-02,128.130005,128.380005,126.279999,127.750000,120.959183,7631700
2019-01-03,128.139999,128.270004,125.360001,125.720001,119.037086,8654500
2019-01-04,127.120003,128.649994,126.730003,127.830002,121.034927,8831700
2019-01-07,127.629997,128.350006,126.800003,127.010002,120.258514,8404700
2019-01-08,128.179993,130.500000,127.730003,129.960007,123.051704,9351600
2019-01-09,129.830002,130.240005,128.330002,128.929993,122.076431,7403500
2019-01-10,127.690002,129.889999,127.690002,129.710007,122.814987,6224400
2019-01-11,129.000000,129.839996,128.309998,129.750000,122.852852,5300400
2019-01-14,128.740005,128.960007,127.589996,128.279999,121.460999,7374400
2019-01-15,128.520004,129.490005,127.650002,129.360001,122.483589,5194400
2019-01-16,129.410004,129.410004,127.900002,128.039993,121.233757,6264200
2019-01-17,127.709999,129.520004,127.459999,129.089996,122.227943,7632000
2019-01-18,129.899994,131.179993,129.449997,130.690002,123.742889,10593000
2019-01-22,128.199997,129.500000,127.010002,128.800003,121.953354,10568100
2019-01-23,128.500000,129.300003,127.930000,128.800003,121.953354,9267800
2019-01-24,128.490005,128.699997,125.000000,127.029999,120.277451,9917000
2019-01-25,128.130005,128.449997,127.029999,128.229996,121.413651,7585100
2019-01-28,127.809998,129.149994,127.290001,128.990005,122.133263,6927700
2019-01-29,128.949997,130.470001,128.500000,130.330002,123.402023,6669300
2019-01-30,130.369995,132.190002,130.300003,131.639999,124.642410,7299300
2019-01-31,131.630005,135.190002,130.869995,133.080002,126.005859,17298100
2019-02-01,134.020004,134.690002,133.470001,134.199997,127.066307,9575200
2019-02-04,133.960007,134.149994,132.210007,132.880005,125.816467,7759000
2019-02-05,133.520004,133.880005,132.750000,132.880005,125.816467,6449800
2019-02-06,133.080002,133.570007,132.300003,133.000000,125.930099,5066100
2019-02-07,132.449997,132.639999,131.529999,132.050003,125.030617,6085300
2019-02-08,131.949997,132.460007,131.539993,132.399994,125.361977,4436700
2019-02-11,132.309998,132.669998,131.259995,132.000000,124.983253,4962200
2019-02-12,132.080002,134.300003,132.080002,134.160004,127.028427,6262300
2019-02-13,134.070007,134.979996,133.210007,134.449997,127.303001,7902200
2019-02-14,134.300003,134.820007,133.350006,134.309998,127.170456,3910400
2019-02-15,135.190002,136.410004,135.009995,136.380005,129.130417,6665000
2019-02-19,136.139999,136.380005,135.630005,135.690002,128.477097,5935500
2019-02-20,135.970001,136.729996,135.729996,136.350006,129.102020,6089800
2019-02-21,134.979996,135.789993,134.270004,135.419998,128.221466,6665500
2019-02-22,135.289993,136.639999,134.820007,136.600006,129.338730,5223900
2019-02-25,136.350006,137.490005,135.860001,136.199997,129.815292,6846600
2019-02-26,136.440002,136.960007,136.050003,136.110001,129.729507,5106900
2019-02-27,135.520004,136.250000,135.389999,135.869995,129.500763,4378100
2019-02-28,135.949997,137.949997,135.690002,136.639999,130.234665,10133200
2019-03-01,137.220001,138.610001,137.009995,138.350006,131.864532,5641600
2019-03-04,138.850006,139.410004,137.509995,138.479996,131.988403,8377700
2019-03-05,138.809998,139.139999,138.360001,138.770004,132.264832,6568900
2019-03-06,139.470001,139.649994,138.600006,139.089996,132.569824,6236900
2019-03-07,138.529999,139.119995,137.699997,138.240005,131.759674,6100400
2019-03-08,138.089996,139.300003,136.419998,138.059998,131.588089,7046700
2019-03-11,138.110001,139.029999,137.520004,138.559998,132.064667,6150400
2019-03-12,138.649994,140.000000,138.500000,139.179993,132.655609,5552900
2019-03-13,139.589996,139.839996,139.020004,139.410004,132.874817,6446900
2019-03-14,138.339996,138.800003,137.940002,138.020004,131.550003,8493600
2019-03-15,138.000000,138.259995,136.830002,137.600006,131.149658,11922500
2019-03-18,137.649994,137.779999,136.720001,137.169998,130.739822,7369600
2019-03-19,137.610001,138.820007,137.470001,138.440002,131.950302,5882500
2019-03-20,138.330002,138.509995,136.649994,137.289993,130.854187,5475700
2019-03-21,137.000000,138.779999,136.949997,138.100006,131.626221,5765100
2019-03-22,137.750000,138.389999,136.860001,136.910004,130.492004,6528800
2019-03-25,136.910004,137.009995,135.740005,136.610001,130.206085,4500300
2019-03-26,136.929993,139.270004,136.929993,138.570007,132.074188,4758600
2019-03-27,138.589996,139.479996,138.070007,138.699997,132.198105,6764900
2019-03-28,139.059998,139.460007,138.710007,138.880005,132.369675,4602100
2019-03-29,139.279999,139.880005,138.880005,139.789993,133.236984,7168400
2019-04-01,139.990005,140.289993,138.740005,138.979996,132.464966,5885200
2019-04-02,139.009995,139.009995,136.910004,137.710007,131.254517,5517800
