Date,Open,High,Low,Close,Adj Close,Volume
2018-12-31,91.629997,92.180000,91.150002,91.919998,87.250633,7239500
2019-01-02,91.029999,91.389999,89.930000,91.279999,86.643158,9843900
2019-01-03,90.940002,92.500000,90.379997,90.639999,86.035660,9820200
2019-01-04,90.839996,92.489998,90.370003,92.489998,87.791695,10565700
2019-01-07,91.910004,92.500000,91.400002,92.120003,87.440491,9012500
2019-01-08,92.699997,93.089996,91.820000,92.459999,87.763199,9551300
2019-01-09,92.690002,92.959999,90.809998,90.949997,86.329918,15015600
2019-01-10,90.889999,91.540001,90.610001,91.169998,86.538742,11102300
2019-01-11,91.669998,91.980003,91.110001,91.769997,87.108261,7166600
2019-01-14,91.500000,91.910004,90.849998,91.150002,86.519760,7952000
2019-01-15,91.150002,92.610001,91.139999,92.010002,87.336067,7834500
2019-01-16,91.739998,92.150002,90.989998,91.370003,86.728592,7964500
2019-01-17,90.709999,91.559998,90.349998,90.639999,86.716141,8044500
2019-01-18,91.370003,91.839996,91.040001,91.419998,87.462372,9100300
2019-01-22,91.389999,91.750000,89.080002,90.440002,86.524811,13518500
2019-01-23,94.180000,96.410004,93.629997,94.839996,90.734322,22869000
2019-01-24,94.290001,94.559998,93.190002,94.300003,90.217705,12146400
2019-01-25,94.419998,94.889999,93.059998,93.599998,89.547997,10618000
2019-01-28,93.320000,93.970001,92.970001,93.519997,89.471458,9765600
2019-01-29,93.790001,94.120003,93.099998,93.540001,89.490601,9769800
2019-01-30,93.610001,94.660004,93.570000,94.519997,90.428162,7750200
2019-01-31,94.430000,96.809998,94.080002,96.470001,92.293762,16044400
2019-02-01,96.349998,97.610001,95.989998,97.470001,93.250488,12720800
2019-02-04,97.209999,98.220001,96.720001,98.029999,93.786217,11887500
2019-02-05,97.989998,98.019997,97.209999,97.440002,93.221771,9772300
2019-02-06,97.250000,98.320000,97.120003,97.919998,93.680984,8693900
2019-02-07,97.519997,97.599998,96.339996,97.139999,92.934753,8732500
2019-02-08,97.010002,97.720001,96.699997,97.709999,93.480087,7483200
2019-02-11,97.489998,98.389999,97.430000,98.269997,94.015831,8494100
2019-02-12,98.379997,99.339996,97.980003,99.260002,94.962975,11238800
2019-02-13,99.290001,99.699997,99.010002,99.239998,94.943848,11587200
2019-02-14,98.699997,98.820000,97.839996,98.459999,94.197609,7930100
2019-02-15,98.949997,99.199997,98.250000,98.480003,94.216743,12069100
2019-02-19,98.559998,100.000000,98.470001,99.989998,95.661369,10098200
2019-02-20,99.779999,100.220001,98.940002,99.279999,94.982109,8947400
2019-02-21,99.099998,99.860001,98.589996,99.779999,95.460472,7444800
2019-02-22,99.690002,100.400002,99.400002,100.250000,95.910126,7925400
